Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,0,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",YR, PT , 16 ,,"695,064",,0,,0,,0,,0,,0,,0,,0,,,"1,246,514",,0,,0,,0,,0,,0,,0,,,1.79,,,,,,,,,,,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",LR, DO , 15 ,,0,,0,,0,,0,,0,,0,,"6,897,871",,0,,,0,,0,,0,,0,,0,,"546,765",,0,,,,,,,,,,,,,0.08,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",VP, PT , 114 ,,0,,"43,591",,0,,0,,0,,0,,0,,0,,,0,,"519,220",,0,,0,,0,,0,,0,,,,,11.91,,,,,,,,,,,,No,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","2,728",HR, DO , 998 ,,0,,0,,0,,0,,0,,0,,"544,182,367",,0,,,0,,0,,0,,0,,0,,"68,218,296",,0,,,,,,,,,,,,,0.13,,,,No,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","2,728",MB, DO , 963 ,,"5,260,402",,0,,0,,"2,920,410",,0,,0,,0,,"1,148",,,"22,481,561",,0,,0,,"10,271,276",,0,,0,,400,,,4.27,,,,,,3.52,,,,,,0.35,,No,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","2,728",DR, TX , 76 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","2,728",DR, PT , 644 ,,0,,"1,707,080",,0,,0,,0,,0,,0,,0,,,0,,"52,958,575",,0,,0,,0,,0,,0,,,,,31.02,,,,,,,,,,,,No,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","2,728",MB, PT , 47 ,,"318,163",,0,,0,,0,,0,,0,,0,,0,,,"1,954,684",,0,,0,,0,,0,,0,,0,,,6.14,,,,,,,,,,,,,,No,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,685",MB, DO ," 1,525 ",,"13,910,726",,0,,0,,0,,0,,0,,0,,"94,035",,,"48,492,776",,0,,0,,0,,0,,0,,"33,779",,,3.49,,,,,,,,,,,,0.36,,No,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,685",HR, DO ," 1,160 ",,0,,0,,0,,0,,0,,0,,"378,116,581",,0,,,0,,0,,0,,0,,0,,"65,219,242",,0,,,,,,,,,,,,,0.17,,,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",VP, PT , 813 ,,0,,"767,940",,0,,0,,0,,0,,0,,"47,227",,,0,,"11,091,890",,0,,0,,0,,0,,"233,210",,,,,14.44,,,,,,,,,,4.94,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",HR, DO , 54 ,,0,,0,,0,,0,,0,,0,,"75,049,920",,0,,,0,,0,,0,,0,,0,,"6,032,550",,0,,,,,,,,,,,,,0.08,,,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",DR, DO , 41 ,,0,,"31,233",,0,,0,,0,,0,,0,,0,,,0,,"425,007",,0,,0,,0,,0,,0,,,,,13.61,,,,,,,,,,,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",RB, DO , 15 ,,0,,0,,0,,"245,542",,0,,0,,0,,"419,400",,,0,,0,,0,,"447,013",,0,,0,,"535,754",,,,,,,,,1.82,,,,,,1.28,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",MB, DO ," 1,399 ",,0,,0,,0,,"22,174,402",,0,,0,,0,,0,,,0,,0,,0,,"55,345,430",,0,,0,,0,,,,,,,,,2.50,,,,,,,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",LR, DO , 110 ,,0,,0,,0,,0,,0,,0,,"113,113,822",,0,,,0,,0,,0,,0,,0,,"12,081,873",,0,,,,,,,,,,,,,0.11,,,,No,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","2,541",MB, PT , 109 ,,0,,0,,0,,"1,724,973",,0,,0,,0,,0,,,0,,0,,0,,"5,315,893",,0,,0,,0,,,,,,,,,3.08,,,,,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",MB, DO , 824 ,,"7,358,978",,0,,0,,0,,"434,148",,0,,0,,"80,444",,,"36,421,592",,0,,0,,0,,0,,0,,"4,156",,,4.95,,,,,,,,,,,,0.05,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",DR, TX , 79 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",MB, PT , 41 ,,"110,562",,"83,175",,0,,0,,0,,0,,0,,0,,,"367,968",,"812,167",,0,,0,,0,,0,,0,,,3.33,,9.76,,,,,,,,,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",DR, PT , 230 ,,"80,768",,"612,884",,"349,270",,0,,0,,0,,0,,0,,,"863,077",,"4,473,638",,0,,0,,"1,780,680",,0,,0,,,10.69,,7.30,,0.00,,,,,,,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",FB, DO , 2 ,,"19,736",,0,,0,,0,,"181,039",,0,,0,,0,,,"50,395",,0,,0,,0,,0,,0,,0,,,2.55,,,,,,,,,,,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",TB, DO , 126 ,,0,,0,,0,,0,,0,,0,,"15,561,912",,0,,,0,,0,,0,,0,,0,,"2,871,115",,0,,,,,,,,,,,,,0.18,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",VP, DO ," 1,038 ",,0,,"193,042",,0,,0,,0,,0,,0,,0,,,0,,"3,021,356",,0,,0,,0,,0,,0,,,,,15.65,,,,,,,,,,,,No,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","2,350",SR, DO , 10 ,,0,,0,,0,,0,,0,,0,,"2,120,085",,0,,,0,,0,,0,,0,,0,,"193,919",,0,,,,,,,,,,,,,0.09,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",FB, PT , 8 ,,"852,622",,0,,0,,0,,0,,0,,0,,0,,,"153,667",,0,,0,,0,,0,,0,,0,,,0.18,,,,,,,,,,,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",MB, DO , 775 ,,"4,416,654",,0,,0,,"1,414,140",,0,,0,,0,,0,,,"19,249,230",,0,,0,,"3,995,027",,0,,0,,0,,,4.36,,,,,,2.83,,,,,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",MB, PT , 69 ,,"57,740",,"26,244",,0,,0,,0,,0,,0,,0,,,"432,421",,"123,405",,0,,0,,0,,0,,0,,,7.49,,4.70,,,,,,,,,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",DR, PT , 432 ,,0,,"1,262,668",,0,,0,,0,,0,,0,,0,,,0,,"11,450,420",,0,,0,,0,,0,,0,,,,,9.07,,,,,,,,,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",CR, PT , 416 ,,"12,011,896",,0,,0,,0,,0,,0,,0,,0,,,"3,758,439",,0,,0,,0,,0,,0,,0,,,0.31,,,,,,,,,,,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",RB, DO , 39 ,,"349,862",,0,,0,,0,,0,,0,,"7,511,145",,"201,100",,,"368,665",,0,,0,,0,,"1,053,546",,0,,"56,221",,,1.05,,,,,,,,,,0.00,,0.28,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",HR, DO , 336 ,,0,,0,,0,,0,,0,,0,,"169,674,279",,0,,,0,,0,,0,,0,,0,,"22,914,842",,0,,,,,,,,,,,,,0.14,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",TB, DO , 22 ,,0,,0,,0,,0,,0,,0,,"4,010,578",,0,,,0,,0,,0,,0,,0,,"404,896",,0,,,,,,,,,,,,,0.10,,,,No,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,252",LR, DO , 155 ,,0,,0,,0,,0,,0,,0,,"41,759,935",,0,,,0,,0,,0,,0,,0,,"5,028,912",,0,,,,,,,,,,,,,0.12,,,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",MB, PT , 3 ,,"23,123",,0,,0,,0,,0,,0,,0,,0,,,"152,291",,0,,0,,0,,0,,0,,0,,,6.59,,,,,,,,,,,,,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",TB, DO , 29 ,,0,,0,,0,,0,,0,,0,,"7,024,793",,0,,,0,,0,,0,,0,,0,,"838,518",,0,,,,,,,,,,,,,0.12,,,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",CR, DO , 286 ,,0,,0,,0,,0,,0,,0,,"160,050,521",,0,,,0,,0,,0,,0,,0,,"11,078,671",,0,,,,,,,,,,,,,0.07,,,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",HR, DO , 286 ,,0,,0,,0,,0,,0,,0,,"139,276,408",,0,,,0,,0,,0,,0,,0,,"16,319,274",,0,,,,,,,,,,,,,0.12,,,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",DR, PT , 175 ,,0,,"753,503",,0,,0,,0,,0,,0,,0,,,0,,"5,469,689",,0,,0,,0,,0,,0,,,,,7.26,,,,,,,,,,,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",MB, DO ," 1,212 ",,"10,437,576",,0,,0,,0,,0,,0,,0,,"142,526",,,"42,875,698",,0,,0,,0,,0,,0,,199,,,4.11,,,,,,,,,,,,0.00,,No,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,099",SR, DO , 108 ,,0,,0,,0,,0,,0,,0,,"22,866,491",,0,,,0,,0,,0,,0,,0,,"2,589,464",,0,,,,,,,,,,,,,0.11,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",CB, PT , 9 ,,"237,682",,0,,0,,0,,0,,0,,0,,0,,,"941,746",,0,,0,,0,,0,,0,,0,,,3.96,,,,,,,,,,,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",MB, DO , 592 ,,"1,868,020",,0,,0,,"6,191,461",,0,,0,,0,,0,,,"6,778,101",,0,,0,,"20,864,297",,0,,0,,0,,,3.63,,,,,,3.37,,,,,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",HR, DO , 52 ,,0,,0,,0,,0,,0,,0,,"62,383,967",,0,,,0,,0,,0,,0,,0,,"5,441,638",,0,,,,,,,,,,,,,0.09,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",DR, PT , 374 ,,0,,"1,130,146",,0,,0,,0,,0,,0,,0,,,0,,"16,480,495",,0,,0,,0,,0,,0,,,,,14.58,,,,,,,,,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",MG, DO , 21 ,,0,,0,,0,,0,,0,,0,,"9,189,600",,0,,,0,,0,,0,,0,,0,,"934,518",,0,,,,,,,,,,,,,0.10,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",MB, PT , 172 ,,"713,710",,"307,383",,0,,0,,0,,0,,0,,0,,,"5,133,902",,"2,030,168",,0,,0,,0,,0,,0,,,7.19,,6.60,,,,,,,,,,,,No,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,386",VP, PT , 166 ,,0,,"114,075",,0,,0,,0,,0,,0,,0,,,0,,"2,312,713",,0,,0,,0,,0,,0,,,,,20.27,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",RB, DO , 8 ,,"160,446",,0,,0,,0,,0,,0,,0,,0,,,"525,069",,0,,0,,0,,0,,0,,0,,,3.27,,,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",LR, DO , 50 ,,0,,0,,0,,0,,0,,0,,"16,328,983",,0,,,0,,0,,0,,0,,0,,"2,678,212",,0,,,,,,,,,,,,,0.16,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",MB, DO , 447 ,,"5,830,666",,"139,785",,0,,"1,436,875",,0,,0,,0,,0,,,"24,802,173",,"1,013,894",,0,,"4,491,307",,0,,0,,0,,,4.25,,7.25,,,,3.13,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",DR, PT , 322 ,,0,,"1,995,224",,0,,0,,0,,0,,0,,0,,,0,,"10,128,844",,0,,0,,0,,0,,0,,,,,5.08,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",CB, PT , 22 ,,"278,443",,0,,0,,0,,0,,0,,0,,0,,,"1,384,033",,0,,0,,0,,0,,0,,0,,,4.97,,,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",VP, DO , 168 ,,0,,"115,044",,0,,0,,0,,0,,0,,0,,,0,,"1,871,436",,0,,0,,0,,0,,0,,,,,16.27,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",DR, TX , 124 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",MB, PT , 122 ,,"1,816,982",,0,,0,,0,,0,,0,,0,,0,,,"8,232,200",,0,,0,,0,,0,,0,,0,,,4.53,,,,,,,,,,,,,,No,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","1,367",CB, DO , 104 ,,"1,013,532",,0,,0,,0,,0,,0,,0,,0,,,"4,631,544",,0,,0,,0,,0,,0,,0,,,4.57,,,,,,,,,,,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",MB, DO , 604 ,,"5,130,675",,0,,0,,0,,0,,0,,0,,0,,,"20,464,019",,0,,0,,0,,0,,0,,0,,,3.99,,,,,,,,,,,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",CB, PT , 58 ,,"185,839",,0,,0,,0,,0,,0,,0,,0,,,"97,569",,0,,0,,0,,0,,0,,0,,,0.53,,,,,,,,,,,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",HR, DO , 42 ,,0,,0,,0,,0,,0,,0,,"43,896,597",,0,,,0,,0,,0,,0,,0,,"4,997,661",,0,,,,,,,,,,,,,0.11,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",DR, PT , 289 ,,0,,"1,126,061",,0,,0,,0,,0,,0,,0,,,0,,"11,783,401",,0,,0,,0,,0,,0,,,,,10.46,,,,,,,,,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",LR, DO , 17 ,,0,,0,,0,,0,,0,,0,,"30,342,098",,0,,,0,,0,,0,,0,,0,,"3,363,952",,0,,,,,,,,,,,,,0.11,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",DR, TX , 162 ,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",CR, PT , 149 ,,"1,709,703",,0,,0,,0,,0,,0,,"16,715,405",,0,,,"962,007",,0,,0,,0,,0,,"137,882",,0,,,0.56,,,,,,,,,,0.01,,,,No,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,333",DR, DO , 12 ,,0,,"22,826",,0,,0,,0,,0,,0,,0,,,0,,"124,387",,0,,0,,0,,0,,0,,,,,5.45,,,,,,,,,,,,No,,,,
