NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles ,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name, Population ,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
00012,0012,Municipality of Anchorage,MOA PTD,Public Transportation,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,632 W 6Th Ave Ste 810,,196650,Anchorage,AK,99501,6312,10,http://www.peoplemover.org/,1707,G6XSV1B8MVB9, 77 ,"291,247",149,"Anchorage, AK",," 251,243 ","2,956",85,47,96,143,,,Tier II,,,  
00014,0T14,Sitka Tribe of Alaska,STA,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,456 Katlian St,,,Sitka,AK,99835,7505,10,www.sitkatribe.org,6669,RSHJU9JW4G59, -   ,0,0,Alaska Non-UZA,"Sitka ANVSA, AK", -   ,0,0,2,,2,,,Tier II,,,  
00015,0T15,Snoqualmie Indian Tribe,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,9571 Ethan Wade Way Se,,969,Snoqualmie,WA,98065,,10,http://www.svtbus.org/,6685,LD6KX4L8KLW9,,,0,Washington Non-UZA,"Snoqualmie Reservation and Off-Reservation Trust Land, WA", -   ,0,0,0,,0,,,Tier II,,,  
00016,0016,RiverCities Transit,RCT,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,1525 Broadway St,,128,Longview,WA,98632,3715,10,http://www.rctransit.org/,1747,HUPTBCSMTSB1, 31 ,"61,598",431,"Longview, WA-OR",," 63,952 ","1,946",33,9,10,19,,,Tier II,,,  
00017,0T17,Stillaguamish Tribe of Indians,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,3322 236Th St Ne,,277,Arlington,WA,98223,7233,10,http://www.stillaguamish.com/,6801,SCBFR3JUM1W3,,,0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA", -   ,0,0,5,,5,,,Tier II,,,  
00018,0018,Ben Franklin Transit,BFT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,1000 Columbia Park Trail,,,Richland,WA,99352,4851,10,http://www.bft.org/,1742,QVNLRS9RPUV4, 616 ,"307,750",171,"Kennewick-Pasco, WA",," 210,975 ","2,059",102,190,32,222,,,Tier II,,,  
00019,0019,Intercity Transit,I.T.,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,526 Pattison St Se,,659,Olympia,WA,98501,2076,10,http://www.intercitytransit.com/,1745,CMC8NKZ8XW63, 101 ,"198,000",195,"Olympia-Lacey, WA",," 176,617 ","1,673",106,233,,233,,,Tier I (Non-Fixed Route VOMS),,,  
00020,0020,Kitsap Transit,,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,60 Washington Ave Ste 200,,,Bremerton,WA,98337,1888,10,http://www.kitsaptransit.com/,1746,XF87DZ25NQT4, 396 ,"254,183",180,"Bremerton, WA",," 198,979 ","1,458",136,211,2,213,,,Tier II,,,  
00021,0021,Whatcom Transportation Authority,WTA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,4111 Bakerview Spur,,,Bellingham,WA,98226,8056,10,http://www.ridewta.com/,5092,FFA5NLAKYDU1, 776 ,"225,928",275,"Bellingham, WA",," 114,473 ","2,379",48,94,,94,,,Tier II,,,  
00022,0022,City of Pocatello,PRT,Pocatello Regional Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2021,1/31/2022,911 N 7Th Ave,,4169,Pocatello,ID,83201,7700,10,http://www.pocatellotransit.com/,1737,C1H5KKGYA7F8, 27 ,"169,849",395,"Pocatello, ID",," 69,809 ","2,251",31,20,,20,,,Tier II,,,  
00023,0023,City of Seattle,SMS,Seattle Center Monorail,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,370 Thomas Street,Second Floor,,Seattle,WA,98109,4695,10,http://www.seattlemonorail.com/,1749,GTE1QV8H9358, 83 ,"753,655",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",,8,8,,,Tier I (Rail),,,  
00024,0024,Clark County Public Transportation Benefit Area Authority,C-TRAN,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,2425 Ne 65Th Ave,,2529,Vancouver,WA,98661,6809,10,http://www.c-tran.com/,1729,GLHCGVXGNPM7, 143 ,"445,744",24,"Portland, OR-WA",," 1,849,898 ","3,528",524,149,,149,,,Tier II,,,  
00025,0025,Salem Area Mass Transit District,SAMTD or SKT,Salem-Keizer Transit or Cherriots,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2021,10/31/2021,555 Court St Ne Ste 5230,Suite 5230,,Salem,OR,97301,3980,10,http://www.cherriots.org/,1740,R7TNFAGJVZA1, 68 ,"230,118",156,"Salem, OR",," 236,632 ","3,117",76,53,63,116,,,Tier II,,,  
00026,0T26,Bristol Bay Native Association,BBNA,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,1500 Kanakanak Rd,,310,Dillingham,AK,99576,310,10,http://www.bbna.com/,7163,PVN7PNGJS147, 63 ,"2,539",0,Alaska Non-UZA,"Dillingham ANVSA, AK", -   ,0,0,,,,,,Tier II,,,  
00027,0T27,Confederated Tribes of Siletz Indians,CTSI,,Reduced Reporter,Tribe,Tribe,,,,6/30/2021,10/31/2021,201 S E Swan Ave,,549,Siletz,OR,97380,2077,10,http://www.ctsi.nsn.us/,7043,WQ4YPGKMFVM4,,,0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR", -   ,0,0,,,,,,Tier II,,,  
00028,0028,County of Pierce,,Pierce County Ferry,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,950 Fawcett Ave Ste 100,,,Tacoma,WA,98402,5603,10,http://www.co.pierce.wa.us/,5013,ZLQHKM7CHCF3, 233 ,"925,708",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",,2,2,,,Tier II,,,  
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,7100 Hardeson Rd,,,Everett,WA,98203,5834,10,https://www.communitytransit.org/,2578,UMNBEBHJUNL4, 258 ,"804,287",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",419,86,505,,,Tier I (Fixed Route VOMS),,,  
00030,0T30,Chickaloon Native Village,CATs,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,9255 N Glenn Highway,,,Palmer,AK,99645,,10,http://www.chickaloontransit.com,6666,YWH8Q1JLRDN9,,,0,Alaska Non-UZA,"Chickaloon ANVSA, AK", -   ,0,0,3,,3,,,Tier II,,,  
00031,0T31,Shoshone-Bannock Tribes ,SBTDOT,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,85 W Agency Rd Bldg 82,,306,Fort Hall,ID,83203,,10,http://www.sbtribes.com/,6976,PFM3F9M7MG44,,0,0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID", -   ,0,0,7,,7,,,Tier II,,,  
00034,0034,Rogue Valley Transportation District,RVTD,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2021,10/31/2021,3200 Crater Lake Ave,,,Medford,OR,97504,9075,10,http://www.rvtd.org/,1739,FNZXSNMFA535, 78 ,"173,199",213,"Medford, OR",," 154,081 ","2,381",65,28,17,45,,,Tier II,,,  
00035,0035,Washington State Ferries,WSF,,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2021,10/31/2021,310 Maple Park Ave Se,,,Olympia,WA,98501,2348,10,http://www.wsdot.wa.gov/ferries/,1724,FCT9KQ8L2574," 1,945 ","3,919,300",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",17,,17,,,Tier II,,,  
00036,0T36,Makah Tribal Council,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,201 Resort Dr,,,Neah Bay,WA,98357,115,10,http://www.makah.com/,6907,DTRYXWQJF723,,,0,Washington Non-UZA,"Makah Indian Reservation, WA", -   ,0,0,1,,1,,,Tier II,,,  
00040,0040,Central Puget Sound Regional Transit Authority,ST,Sound Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,401 S Jackson St,,,Seattle,WA,98104,2826,10,http://www.soundtransit.org/,5656,GPFAQBCY95D3," 1,087 ","3,241,010",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",244,113,357,,,Tier I (Rail),,,  
00041,0041,Alaska Railroad Corporation,ARRC,,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,12/31/2021,4/30/2022,327 Ship Creek Ave W,,107500,Anchorage,AK,99501,1671,10,http://www.alaskarailroad.com,5806,NTFBL2RJ7X99, 266 ,"352,701",149,"Anchorage, AK",," 251,243 ","2,956",85,41,,41,,,Tier I (Rail),,,  
00043,0043,Chelan Douglas PTBA ,,Link Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,2700 Euclid Ave,,,Wenatchee,WA,98801,5914,10,http://www.linktransit.com/,5606,MV3YVKFM9W77, 197 ,"108,660",412,"Wenatchee, WA",," 67,227 ","2,143",31,48,3,51,,,Tier II,,,  
00044,0044,Skagit Transit,SKT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,600 County Shop Ln,,,Burlington,WA,98233,9772,10,https://www.skagittransit.org/,5816,KL82E3EQNM61, 760 ,"116,627",435,"Mount Vernon, WA",," 62,966 ","1,827",34,69,,69,,,Tier II,,,  
00045,0045,Fairbanks North Star Borough ,MACS,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,907 Terminal St,,,Fairbanks,AK,99701,2868,10,http://www.co.fairbanks.ak.us/transportation/,1734,KBLKNWKWRAX5," 7,338 ","97,581",425,"Fairbanks, AK",," 64,513 ","1,170",55,14,,14,,,Tier II,,,  
00046,0046,City of Wilsonville,SMART,South Metro Area Regional Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,29799 Sw Town Center Loop E,,,Wilsonville,OR,97070,9454,10,http://www.ridesmart.com/,5706,J9AUEWEGF9L7, 80 ,"73,870",24,"Portland, OR-WA",," 1,849,898 ","3,528",524,19,,19,,,Tier II,,,  
00047,0047,City of Corvallis,CTS,Corvallis Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,501 Sw Madison Ave,,1083,Corvallis,OR,97333,4601,10,http://www.corvallisoregon.gov/cts,5664,P6JYFJDEZWF8, 14 ,"64,213",436,"Corvallis, OR",," 62,433 ","2,957",21,,11,11,,,Tier II,,,  
00048,0048,City of Lewiston,Lewiston Transit System,Lewiston Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2021,1/31/2022,1134 F St,215 D St,617,Lewiston,ID,83501,1930,10,http://www.ridethevalley.org,5981,USMMWLRUYBD5, 17 ,"50,058",483,"Lewiston, ID-WA",," 51,924 ","1,840",28,4,,4,,,Tier II,,,  
00051,0051,Asotin County,PTBA,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,1494 Poplar St,,,Clarkston,WA,99403,2348,10,http://www.asotincoptba.com,6450,XEMWMJSAKYW8, 20 ,"21,888",483,"Lewiston, ID-WA",," 51,924 ","1,840",28,14,,14,,,Tier II,,,  
00053,0053,Coeur d'Alene Tribe,Citylink,Citylink Transit,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,37914 South Nukwalqw Street,,236,Worley,ID,83876,236,10,http://www.idahocitylink.com/,6807,, 388 ,"21,188",304,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID"," 98,378 ","2,083",47,7,,7,,,Tier II,,,  
00055,0055,Kootenai County,KC,Kootenai County Citylink North,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2021,1/31/2022,451 Government Way,,9000,Coeur D Alene,ID,83814,2988,10,http://www.kcgov.us/,6283,JDGLH97AM1R1, 32 ,"75,423",304,"Coeur d'Alene, ID",," 98,378 ","2,083",47,,4,4,,,Tier II,,,  
00057,0057,Central Oregon Intergovernmental Council,Cascades East Transit,,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2021,10/31/2021,334 Ne Hawthorne Ave,,,Bend,OR,97701,4727,10,https://coic2.org/transportation/,7112,HWSZUENCALS5, 78 ,"156,297",344,"Bend, OR",," 83,794 ","2,110",40,23,20,43,,,Tier II,,,  
00058,0058,City of Portland,PBOT,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,1221 Sw 4Th Ave,Suite 1331,,Portland,OR,97204,1900,10,https://www.portland.gov/transportation,1728,N5NMTXG2UE65, 11 ,"91,561",24,"Portland, OR-WA",," 1,849,898 ","3,528",524,,12,12,,,Tier I (Rail),,,  
00059,0059,Josephine County,JCT,Josephine Community Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,201 River Heights Way,,,Grants Pass,OR,97527,5432,10,http://www.co.josephine.or.us/SectionIndex.asp?SectionID=164,6746,GHCKNZMHPP51, 80 ,"48,000",494,"Grants Pass, OR",," 50,520 ","1,858",27,15,,15,,,Tier II,,,  
00060,0060,The Tulalip Tribes of Washington,TTT,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,6406 Marine Dr,,,Tulalip,WA,98271,9714,10,http://www.tulaliptribes-nsn.gov/,6977,ELUVLMGA6RD1, 19 ,"5,303",0,Washington Non-UZA,"Tulalip Reservation and Off-Reservation Trust Land, WA", -   ,0,0,1,,1,,,Tier II,,,  
00061,0061,City of Albany,ATS,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,333 Broadalbin St Sw,,490,Albany,OR,97321,2247,10,"albanytransit.com,taketheloop.com",5676,ZBCVCUBFETA2, 20 ,"50,724",459,"Albany, OR",," 56,997 ","2,379",24,13,,13,,,Tier II,,,  
00063,0063,City of Milton-Freewater,,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,722 S Main St,,6,Milton Freewater,OR,97862,1453,10,http://www.mfcity.com/,7213,SMYLH8JBC7L5, 79 ,"8,640",464,"Walla Walla, WA-OR",," 55,805 ","2,017",28,,2,2,,,Tier II,,,  
00064,0064,Valley Transit,VT,,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,1401 W Rose St,,,Walla Walla,WA,99362,1687,10,http://www.valleytransit.com/,5607,E3SFN4BCQ5X8, 25 ,"46,914",464,"Walla Walla, WA-OR",," 55,805 ","2,017",28,17,,17,,,Tier II,,,  
00065,0065,Benton County,BAT,Benton Area Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2021,10/31/2021,205 Nw 5Th St,,1083,Corvallis,OR,97330,4808,10,www.RidetheBAT.com,1723,DWAANDYBQH65, 679 ,"93,053",436,"Corvallis, OR",," 62,433 ","2,957",21,,10,10,,,Tier II,,,  
00075,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,9615 Grand Ronde Rd,,,Grand Ronde,OR,97347,9712,10,http://www.grandronde.org/,6678,K4ZDA84UXNN5, -   ,0,0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR", -   ,0,0,,,,,,Tier II,,,  
00085,0T08,Gulkana Village Council,SET,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,Mile 127 Richardson Hwy,,254,Gakona,AK,99586,254,10,http://www.soaringeagletransit.com,6667,QL7BYD83M133,,,0,Alaska Non-UZA,"Gakona ANVSA, AK; Gulkana ANVSA, AK; Copper Center ANVSA, AK; Chitina ANVSA, AK; Tazlina ANVSA, AK; Chistochina ANVSA, AK", -   ,0,0,3,,3,,,Tier II,,,  
00095,0T11,Lummi Nation,LIBC,Lummi Indian Business Council,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,2665 Kwina Rd,,,Bellingham,WA,98226,9291,10,http://lummi-nsn.gov/,6684,TP4UB9N6TSA5,,,0,Washington Non-UZA,"Lummi Reservation, WA", -   ,0,0,2,,2,,,Tier II,,,  
00103,0T16,Squaxin Island Tribe,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,10 Se Squaxin Ln,,,Shelton,WA,98584,9200,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,Z7LUCA1NAJ85,,,0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA", -   ,0,0,4,,4,,,Tier II,,,  
00111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN,Confederated Tribes and Bands of the Yakama Nation,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,401 Fort Rd,,151,Toppenish,WA,98948,,10,http://www.pahtotransit.com,6679,Q4EDSUR34U61, -   ,0,0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA", -   ,0,0,5,,5,,,Tier II,,,  
00119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,46411 Timine Way,,,Pendleton,OR,97801,9099,10,https://ctuir.org/tribal-services/planning/kayak-public-transit,6800,MX2KEMW2J5Z3,,,0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR--WA", -   ,0,0,7,,7,,,Tier II,,,  
00127,0T07,Cowlitz Indian Tribe,CITDOT,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,1055 9Th Ave Ste B,,2547,Longview,WA,98632,2661,10,http://www.cowlitz.org/,6808,PG4FZK2YY5T1, -   ,0,0,Washington Non-UZA,"Cowlitz Reservation, WA", -   ,0,0,6,,6,,,Tier II,,,  
00135,0T12,Nez Perce Tribe,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,120 Bever Grade,,365,Lapwai,ID,83540,365,10,http://www.nezperce.org/,1722,N6M5CKJT8G71,,,0,Idaho Non-UZA,"Nez Perce Reservation, ID", -   ,0,0,4,,4,,,Tier II,,,  
00167,0T19,Native Village of Crooked Creek,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,401 Main St Ste 201,,69,Crooked Creek,AK,99575,,10,,6975,S8FDJRKMF758,,,0,Alaska Non-UZA,"Crooked Creek ANVSA, AK", -   ,0,0,0,,0,,,Tier II,,,  
00199,0T23,Seldovia Village Tribe,SVT,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,206 Main St,,,Seldovia,AK,99663,,10,http://www.svt.org/,6744,E1KRVY671B35,,,0,Alaska Non-UZA,"Seldovia ANVSA, AK", -   ,0,0,1,,1,,,Tier II,,,  
00207,0T24,Spokane Tribe of Indians,TME,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,6195 Ford Wellpinit Rd,6195 Ford Wellpinit Rd,100,Wellpinit,WA,99040,9707,10,http://www.spokanetribe.com/,6937,Q4XPD6M7TNE7,,,0,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA", -   ,0,0,11,,11,,,Tier II,,,  
00223,0T28,Jamestown S'Klallam Tribe,JST,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,1033 Old Blyn Hwy,,,Sequim,WA,98382,7670,10,http://www.jamestowntribe.org/,6986,MLVMMNN8LJS7,,,0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA", -   ,0,0,,,,,,Tier II,,,  
00239,0T34,Ketchikan Indian Community,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,2960 Tongass Ave,,,Ketchikan,AK,99901,5742,10,www.kictribe.org,7287,NLA4XF2E97L3,,,0,Alaska Non-UZA,"Ketchikan ANVSA, AK", -   ,0,0,3,,3,,,Tier II,,,  
00247,0T29,Native Village of Noatak,NNV,,Reduced Reporter,Tribe,Tribe,,,,6/30/2021,10/31/2021,#5 Swamp Street,,24,Noatak,AK,99761,,10,http://www.maniilaq.org/,7186,,,,0,Alaska Non-UZA,"Noatak ANVSA, AK", -   ,0,0,1,,1,,,Tier II,,,  
00271,0T41,Nome Eskimo Community,NEC,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,200 W. 5Th Avenue,,1090,Nome,AK,99762,,10,www.necalaska.org,6985,,,,0,Alaska Non-UZA,"Nome ANVSA, AK", -   ,0,0,0,,0,,,Tier II,,,  
00279,0T40,Hydaburg Cooperative Association,,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,1 Water St,,349,Hydaburg,AK,99922,,10,www.hydatribe.org/transportation.hotmail,7246,GDM2XDL25K58,,,0,Alaska Non-UZA,"Hydaburg ANVSA, AK", -   ,0,0,2,,2,,,Tier II,,,  
00373,0R01-012,Treasure Valley Transit,TVT,,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2021,1/31/2022,1136 W Finch Dr,,,Nampa,ID,83651,1732,10,www.treasurevalleytransit.com,1722,ELDHKFQXJZ51, 210 ,"148,011",216,"Nampa, ID",," 151,499 ","2,183",69,25,,25,,,Tier II,,,  
00376,0R02-022,"Ride Connection, Inc.",,,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2021,10/31/2021,9955 Ne Glisan St,,,Portland,OR,97220,4453,10,http://www.rideconnection.org,1728,THZUDR6KMFW8," 1,192 ","1,394,200",24,"Portland, OR-WA",," 1,849,898 ","3,528",524,29,41,70,,,Tier II,,,  
00400,,Gwichyaa Zhee Tribal Transit Service,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,1936 E 3Rd Ave,,126,Fort Yukon,AK,99740,0,10,,6983,NES3HKA1ZLN5,,,0,Alaska Non-UZA,"Fort Yukon ANVSA, AK", -   ,0,0,1,,1,,,Tier II,,,  
