Confirmed Data,Member ID,Transit Agency Name,City,State,Country,New 2020 Data,Last Data Submission,fleetid,Mode Code,Mode Name,Year Built,Status,Manufacturer Code,Manufacturer Name,Model,Vehicle Type,Vehicle Type Name,Wheelchair Accessible,Vehicle Floor Height,On-vehicle Accessibility Equipment,Platform Height,Platform Accessibility Equipment,"Seats, Number of",Length in Feet,Width in Inches,Power Type Code,Power Type Name,Engine Manufacturer Code,Engine Manufacturer Name,Amount Paid per Vehicle,"Total Vehicles, Number of","Active Vehicles,  Number of","Rehabilitated Vehicles, Number of","Vehicles to be Rehabilitated, Number of",CanadianIndex
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14148,DR,Demand Response,2014.00,A,GLV,Glaval Industries,FORD E-350,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,22.00,96.00,GA,Gasoline,FO,Ford,"$64,308.00",22.00,22.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14151,DR,Demand Response,2014.00,A,DTD,"Dodge Division, Chrysler Corporation",DODGE-BRAUN,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,8.00,17.00,72.00,GA,Gasoline,DO,Dodge,"$49,510.00",10.00,10.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14152,DR,Demand Response,2014.00,A,FRD,Ford Motor Corporation,TAURUS-SEDAN,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",No,Low,None,None,None,3.00,16.00,72.00,GA,Gasoline,FO,Ford,"$19,512.00",10.00,10.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14147,DR,Demand Response,2013.00,A,STR,Starcraft Automotive Group,FORD E-350,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,22.00,96.00,GA,Gasoline,FO,Ford,"$68,296.00",2.00,2.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14631,DR,Demand Response,2012.00,A,ECO,Elkhart Coach,FORD E-350,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,22.00,96.00,DF,Diesel fuel,FO,Ford,"$74,590.00",19.00,19.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14630,DR,Demand Response,2011.00,A,ECO,Elkhart Coach,FORD E-350,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,22.00,96.00,GA,Gasoline,FO,Ford,"$72,874.00",6.00,6.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,7913,DR,Demand Response,2009.00,A,STR,Starcraft Automotive Group,STARCRAFT,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,25.00,96.00,DF,Diesel fuel,FO,Ford,"$74,725.00",5.00,5.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14136,MB,Bus,2015.00,A,GIL,Gillig Corporation,G27B102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,30.00,35.00,102.00,CN,Compressed natural gas,CU,Cummins,"$496,975.00",5.00,5.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14138,MB,Bus,2015.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,"$511,886.00",16.00,16.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14135,MB,Bus,2014.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,"$501,475.00",24.00,24.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14133,MB,Bus,2012.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$413,115.00",37.00,37.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14134,MB,Bus,2012.00,A,GIL,Gillig Corporation,G30D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$609,632.00",10.00,10.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,11478,MB,Bus,2011.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$408,959.00",19.00,19.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,11466,MB,Bus,2011.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$421,470.00",1.00,1.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14213,MB,Bus,2009.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$403,393.00",14.00,14.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,8180,MB,Bus,2009.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$386,997.00",10.00,10.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14211,MB,Bus,2009.00,A,GIL,Gillig Corporation,G30D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,DB,Diesel and electric battery (Hybrid),CU,Cummins,"$596,478.00",1.00,1.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,7912,MB,Bus,2008.00,A,GIL,Gillig Corporation,G21D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$391,696.00",36.00,36.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,50,MB,Bus,2008.00,A,GIL,Gillig Corporation,G21D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$365,526.00",18.00,18.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,51,MB,Bus,2008.00,A,GIL,Gillig Corporation,G21D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$369,447.00",11.00,11.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,49,MB,Bus,2007.00,A,GIL,Gillig Corporation,G20D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,34.00,40.00,102.00,BD,Biodiesel,CU,Cummins,"$343,686.00",12.00,12.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,46,MB,Bus,2005.00,A,GIL,Gillig Corporation,G20D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,38.00,40.00,102.00,BD,Biodiesel,DD,Detroit Diesel,"$346,238.00",38.00,38.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14666,DR,Demand Response,2017.00,A,STR,Starcraft Automotive Group,E-450,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,23.00,96.00,GA,Gasoline,CV,Chevrolet,,11.00,11.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14667,DR,Demand Response,2017.00,A,STR,Starcraft Automotive Group,E-450,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,16.00,25.00,96.00,GA,Gasoline,CV,Chevrolet,,1.00,1.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14663,DR,Demand Response,2016.00,A,MOB,Mobility Ventures,MV-1,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,Low,Ramp,None,Ramp,3.00,17.00,79.00,GA,Gasoline,FO,Ford,,2.00,2.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14664,DR,Demand Response,2016.00,A,STR,Starcraft Automotive Group,E-450,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,16.00,25.00,96.00,GA,Gasoline,CV,Chevrolet,,4.00,4.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14665,DR,Demand Response,2016.00,A,STR,Starcraft Automotive Group,E-45,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,23.00,96.00,GA,Gasoline,CV,Chevrolet,,4.00,4.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,12197,DR,Demand Response,2012.00,A,EDN,ElDorado-National,AERO TECH,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,25.00,96.00,DF,Diesel fuel,CV,Chevrolet,,2.00,2.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,15096,MB,Bus,2018.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,38.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,,1.00,1.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14661,MB,Bus,2017.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,38.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,,4.00,4.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,14662,MB,Bus,2017.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,31.00,35.00,102.00,CN,Compressed natural gas,CU,Cummins,,3.00,3.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,13537,MB,Bus,2015.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,31.00,35.00,102.00,CN,Compressed natural gas,CU,Cummins,"$454,480.00",15.00,15.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,9634,MB,Bus,2010.00,A,GIL,Gillig Corporation,LOW FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,39.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,,4.00,4.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,9633,MB,Bus,2010.00,A,GIL,Gillig Corporation,LOW FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,32.00,35.00,102.00,DF,Diesel fuel,CU,Cummins,,8.00,8.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8205,MB,Bus,2009.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,32.00,35.00,102.00,DF,Diesel fuel,CU,Cummins,,3.00,3.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8204,MB,Bus,2009.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,39.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,,3.00,3.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8201,MB,Bus,2008.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,32.00,35.00,102.00,DF,Diesel fuel,CU,Cummins,,5.00,5.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8200,MB,Bus,2008.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,39.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,,5.00,5.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8198,MB,Bus,2007.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,39.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,,3.00,3.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8199,MB,Bus,2007.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,32.00,35.00,102.00,DF,Diesel fuel,CU,Cummins,,1.00,1.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,56,MB,Bus,2004.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,23.00,30.00,102.00,DF,Diesel fuel,CU,Cummins,"$253,794.00",1.00,1.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,58,MB,Bus,2003.00,A,GIL,Gillig Corporation,LOW-FLOOR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,32.00,35.00,102.00,DF,Diesel fuel,CU,Cummins,"$257,334.00",3.00,3.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8215,SR,Streetcar,2006.00,A,GTC,Gomaco Trolley Company,GOMACO,Car12,"Rail car, non-articulated, 1 level, 2 cabs",Yes,High,Lift,Low,None,40.00,49.00,102.00,EP,Electric propulsion (third rail or catenary),GE,General Electric,,2.00,2.00,0.00,0.00,
Yes,8,Rock Region METRO,Little Rock,AR,U.S.,Yes,2020,8214,SR,Streetcar,2001.00,A,GTC,Gomaco Trolley Company,GOMACO,Car12,"Rail car, non-articulated, 1 level, 2 cabs",Yes,High,Lift,Low,None,40.00,49.00,102.00,EP,Electric propulsion (third rail or catenary),GE,General Electric,,3.00,3.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16677,CB,Commuter Bus,2021.00,P,MCI,Motor Coach Industries International,D45 CRT LE,Busi,"Bus, intercity (>=32'6"", 1 door, luggage bays)",Yes,High,Ramp,Both,Both,0.00,45.00,102.00,DF,Diesel fuel,CU,Cummins,,14.00,0.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16676,CB,Commuter Bus,2021.00,P,ALX,Alexander Dennis,ENVIRO 500,Bus2,"Bus, double-deck (2 levels, one above the other)",Yes,High,Ramp,Both,Both,80.00,42.00,102.00,DF,Diesel fuel,CU,Cummins,,5.00,0.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16675,CB,Commuter Bus,2020.00,O,MCI,Motor Coach Industries International,D45 CRT LE,Busi,"Bus, intercity (>=32'6"", 1 door, luggage bays)",Yes,High,Ramp,Both,Both,0.00,45.00,102.00,DF,Diesel fuel,CU,Cummins,,36.00,0.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,14896,CB,Commuter Bus,2018.00,A,ALX,Alexander Dennis,ENVIRO 500,Bus2,"Bus, double-deck (2 levels, one above the other)",Yes,Low,Ramp,Both,Both,80.00,42.00,102.00,DF,Diesel fuel,AE,Associated Equipment Company,"$850,000.00",15.00,15.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16700,CB,Commuter Bus,2013.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,36.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,"$435,371.00",54.00,54.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,14895,CB,Commuter Bus,2003.00,A,MCI,Motor Coach Industries International,102DL-3,Busi,"Bus, intercity (>=32'6"", 1 door, luggage bays)",Yes,High,Lift,Both,Both,57.00,45.00,102.00,DF,Diesel fuel,DD,Detroit Diesel,"$441,390.00",36.00,36.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16720,DR,Demand Response,2014.00,A,EDN,ElDorado-National,AEROTECH,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,16.00,24.00,102.00,GA,Gasoline,FO,Ford,"$105,217.00",6.00,6.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16716,MB,Bus,2021.00,P,UNK,Unknown,ZEB,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,0.00,40.00,102.00,HY,Hydrogen,UN,Unknown,,21.00,0.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16717,MB,Bus,2021.00,P,UNK,Unknown,ZEB,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,0.00,40.00,102.00,EB,Electric battery,UN,Unknown,,20.00,0.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16715,MB,Bus,2020.00,O,GIL,Gillig Corporation,BEB,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,37.00,40.00,102.00,EB,Electric battery,CU,Cummins,,2.00,0.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16703,MB,Bus,2019.00,A,NFA,New Flyer of America,XHE40,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,40.00,40.00,102.00,HY,Hydrogen,BP,Ballard Power Systems,,10.00,10.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16704,MB,Bus,2019.00,A,NFA,New Flyer of America,HE40,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,40.00,40.00,102.00,EB,Electric battery,SM,Siemens,"$1,013,204.00",5.00,5.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16718,MB,Bus,2019.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,37.00,40.00,102.00,DB,Diesel and electric battery (Hybrid),CU,Cummins,,1.00,1.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,16702,MB,Bus,2018.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,37.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,"$473,681.00",35.00,35.00,0.00,0.00,
Yes,9,Alameda-Contra Costa Transit District,Oakland,CA,U.S.,Yes,2020,15455,MB,Bus,2017.00,A,GIL,Gillig Corporation,G27D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,37.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,"$488,247.00",10.00,10.00,0.00,0.00,
