NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
00019,Intercity Transit,Full Reporter,Urban,MB,DO,"655,990",,,956,,,,,,,,,,
00019,Intercity Transit,Full Reporter,Urban,VP,DO,,,,,,,,"207,883",,,,,,
00020,Kitsap Transit,Full Reporter,Urban,DR,DO,"73,573",,,0,,,,"1,588",,,,"166,417",,
00020,Kitsap Transit,Full Reporter,Urban,FB,DO,0,,,"582,277",,,,,,,,,,
00020,Kitsap Transit,Full Reporter,Urban,FB,PT,0,,,"45,305",,,,,,,,,0,
00020,Kitsap Transit,Full Reporter,Urban,MB,DO,"559,948",,,0,"17,912",,,,,,,"9,238",,
00020,Kitsap Transit,Full Reporter,Urban,VP,DO,"3,563",,,0,,,,"40,674",,,,,,
00021,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,"119,827",,,,"71,740",,
00021,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,0,,,"445,475",,,,,,,,,,
00021,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,"16,046",,,,,,
00023,City of Seattle,Full Reporter,Urban,MG,PT,,,,,,"618,078",,,,,,,,
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,0,,,"174,140",,,,"3,754",,,,,,
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,,"912,460",,,,"8,137",,,,,,
00024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,"14,276",,,,,,
00025,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,"35,623",,,0,,,,"147,577",,,,,,
00025,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,"219,441",,"344,025",0,,,,,,,,,,
00025,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,,,,,"31,710",,,,,,
00028,County of Pierce,Full Reporter,Urban,FB,PT,0,,,"185,117",,,,,,,,,,
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,"20,678",,,"392,877",,,,,,,,,,
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,0,,,"631,312",,,,,,,,,,
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,,,,,,,,"247,514",,,,,,
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,"87,571",,,"1,663,841",,,,,,,,,,
00029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,,,,,,,,"245,791",,,,,,
00034,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,,,,,"47,762",,,,,,
00034,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,0,,"145,614","74,164",,,,,,,,,,
00035,Washington State Ferries,Full Reporter,Urban,FB,DO,"825,236",,,"17,903,510",,,,,,,,,,
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,0,,"425,350","2,379,859",,,,,,,,,,
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,"748,767",,,,,,,,,,
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,0,,,"1,415,148",,,,,,,,,,
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,,,,,,"25,140,087",,,,,,,,
00040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,,,,,,"428,078",,,,,,,,
00041,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,0,,,"723,152",,,,,,,,,,
00043,Link Transit,Full Reporter,Urban,DR,DO,,,,,,,,"8,441",,,,"19,639",,
00043,Link Transit,Full Reporter,Urban,DR,PT,,,,,,,,809,,,,,,
00043,Link Transit,Full Reporter,Urban,MB,DO,0,,,"230,835","130,305",,,"28,544",,,,"59,327",,
00044,Skagit Transit,Full Reporter,Urban,CB,DO,0,,,"63,504",,,,,,,,,,
00044,Skagit Transit,Full Reporter,Urban,DR,DO,0,,,"19,227",,,,,,,,"63,974",,
00044,Skagit Transit,Full Reporter,Urban,MB,DO,0,,,"173,404",,,,,,,,,,
00044,Skagit Transit,Full Reporter,Urban,VP,DO,,,,,,,,"59,985",,,,,,
00046,City of Wilsonville,Full Reporter,Urban,DR,DO,0,,"1,882","2,247",,,,"8,831",,,,,,
00046,City of Wilsonville,Full Reporter,Urban,MB,DO,0,,"7,530","42,690",433,,,"35,548",,,,,,
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,0,,,"41,962",,,,"6,774",,,,,,
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,,,,,,,,"25,588",,,,,,
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,,,,,"31,304",,,,,,
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,,,,,,,,"4,026",,,,,,
00057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,0,,,"47,318",,,,"8,547",,,,,,
00058,City of Portland,Full Reporter,Urban,SR,PT,,,,,,"2,520,042",,,,,,,,
00058,City of Portland,Full Reporter,Urban,TR,PT,,,,,,"363,800",,,,,,,,
00376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,"30,363",,,,,,
00376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,,,,,,,,"31,854",,,,,,
00415,Ada County Highway District,Full Reporter,Urban,VP,DO,,,,,,,,"88,098",,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,0,,,"300,000",,,,"1,013",,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,0,,,"1,830,000",,,,,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,VP,PT,,,,,,,,"8,965",,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,0,,,"13,813,617",,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,"1,862,649",,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,0,,,"1,202,108",,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,"190,322,755",,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,"48,371,041",,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,"5,617,942",,"1,720,936",0,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,0,,,"171,178",,,,"33,865",,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,0,,,"372,280",,"6,836,648",,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,"4,760,818",,,,,,,,
10004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,0,,,533,,,,"103,348",,,,,,
10004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,0,,,"289,744",,,,,,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,"27,531",,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"47,881",,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,"278,467",,,,"31,218",,,,,,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"102,752",,,,,,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,"379,128",,,,,,,,,,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"38,860",,,,,,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,"72,222",,,,"65,577",,,,,,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"370,583",,,,,,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,0,,,"1,165,653","162,450",,,"15,792",,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,"33,799",,,,,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"108,469",,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,"344,880",,,,,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,"33,754",,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"83,128",,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,0,,,"371,131","232,480",,,"20,349",,,,,,
10016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,0,,"194,296","179,825",,,,,,,,,,
10017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,0,,"60,393","104,885",,,,"527,447",,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,DR,PT,,,,,,,,"12,839",,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,MB,DO,0,,,"230,438",,,,"8,885",,,,,,
10042,Valley Transit District,Full Reporter,Urban,DR,DO,,,,,,,,"6,007",,,,"45,278",,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,0,,,"235,859",,,,,,,,,,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,0,,,"55,791",,,,,,,,,,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,0,,,"2,180,201",,,,,,,,,,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,0,,,"275,867",,,,,,,,,,
10049,Greater New Haven Transit District,Full Reporter,Urban,DR,DO,,,,,,,,"288,688",,,,,,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,0,,,"51,451",,,,"1,138",,,,,,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,0,,,"466,119",,,,,,,,,,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,DR,DO,0,,,"11,332",,,,"48,725",,,,,,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,MB,DO,0,,,"166,834",,,,"51,584",,,,,,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,"25,313",,,,,,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,0,,,"36,866",,,,"5,775",,,,,,
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,0,,,"1,039,899",,,,,,,,,,
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,0,,,"369,276",,,,,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,DR,DO,0,,,"11,999",,,,"42,818",,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,DR,PT,,,,,,,,"35,560",,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,MB,DO,0,,,"239,504",,,,"25,968",,,,,,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,"1,220",,,,"270,181",,,,,,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,"114,085",,,,"52,670",,,,,,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"229,182",,,,,,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,"202,400",,,,"35,559",,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,CB,DO,0,,,"135,935",,,,"11,127",,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,DO,0,,,"19,230",,,,"32,685",,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"61,483",,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,MB,DO,0,,,"300,805",,,,"25,731",,,,,,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,,,,,,,,"28,637",,,,,,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,0,,,"134,423",,,,"9,520",,,,,,
10087,City of Nashua,Full Reporter,Urban,DR,PT,"11,611",,,0,,,,"7,648",,,,,,
10087,City of Nashua,Full Reporter,Urban,MB,PT,"17,445",,"94,114",0,,,,278,,,,,,
10088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,"40,986",,,"246,248",,,,,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,CB,DO,0,,,386,,,,"14,956",,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,"38,566",,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,0,,,"15,896",,,,"14,455",,,,,,
10102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,0,,,"112,588",,,,,,,,,,
10102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,0,,,"885,146",,,,,,,,,,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"240,243",,,,,,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,"158,037",,,"3,634",,,,"2,980",,,,,,
10107,Milford Transit District,Full Reporter,Urban,DR,DO,,,,,,,,"37,556",,,,,,
10107,Milford Transit District,Full Reporter,Urban,MB,DO,"61,304",,,0,,,,,,,,,,
10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,0,,,"802,968",,,,,,,,,,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,"108,645",,,,,,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,,,"53,606",,,,,"153,472",,,,,,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,PT,,,,,,,,"118,919",,,,,,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,PT,0,,,"292,253",,,,,,,,,,
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,MB,PT,0,,,"223,048",,,,,,,,,,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,0,,,"3,161,408",,,,,,,,,,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,0,,"8,124","62,703",,,,,,,,,,
11147,Rhode Island Department of Transportation,Full Reporter,Urban,FB,PT,0,,,"155,646",,,,,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,0,,,"93,997",,,,,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,"367,307",,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,0,,,"1,793,326",,,,"6,668",,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,"15,023",,,,,,
20003,Broome County,Full Reporter,Urban,DR,DO,0,,,"2,095",,,,"24,419",,,,,,
20003,Broome County,Full Reporter,Urban,DR,PT,0,,,666,,,,"52,081",,,,,,
20003,Broome County,Full Reporter,Urban,MB,DO,0,,,"284,566",,,,,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,0,,"37,866","22,328",,,,"204,498",,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,"7,688,537",,,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,0,,"802,397","1,879,005",,,,,,,,,,
20006,City of Long Beach,Full Reporter,Urban,DR,DO,,,,,,,,"7,154",,,,,,
20006,City of Long Beach,Full Reporter,Urban,MB,DO,0,,,"57,929",,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,CB,DO,0,,,"4,109,317",,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,DR,PT,0,,,"1,470,503",,,,"3,979,716",,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,HR,DO,,,,,,"1,773,312,000",,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,MB,DO,0,,"5,473,310","27,575,850","232,158",,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,RB,DO,0,,,"1,185,641",,,,,,,,,,
20010,Dutchess County,Full Reporter,Urban,DR,DO,0,,,"43,520",,,,,,,,,,
20010,Dutchess County,Full Reporter,Urban,MB,DO,0,,,"243,704",,,,,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,0,,,"5,417",,,,"99,266",,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,"90,987",,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,0,,"487,428","943,470",,,,,,,,,,
20072,Suffolk County ,Full Reporter,Urban,DR,PT,,,,,,,,"1,365,930",,,,,,
20072,Suffolk County ,Full Reporter,Urban,MB,PT,0,,,"1,194,041",,,,"261,802",,,,,,
20075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,,,,,,"45,534,654",,,,,,,,
20076,Westchester County,Full Reporter,Urban,DR,PT,,,,,,,,"341,624",,,,,,
20076,Westchester County,Full Reporter,Urban,MB,PT,0,,,"2,629,211",,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,0,,,"7,051,456",,"481,926,202",,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,0,,,"194,573",,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,0,,,"51,574",,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,0,,,"13,953,028",,"385,837,774",,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,0,,,"40,010",,,,"2,194,211",,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,,,,,,"6,772,749",,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,,,,,,"28,448,278",,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,0,,"1,753,198","21,204,046",,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,0,,,"1,938,747",,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,,,,,,,,"192,262",,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,0,,,"713,160",,,,,,,,,,
20082,New York City Department of Transportation,Full Reporter,Urban,CB,PT,0,,,"199,084",,,,,,,,,,
20082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,0,,,"4,692,125",,,,,,,,,,
20084,County of Rockland ,Full Reporter,Urban,DR,DO,0,,,0,,,,"68,590",,,,,,
20084,County of Rockland ,Full Reporter,Urban,MB,PT,0,,,"427,231",,,,0,,,,,,
20096,Putnam County ,Full Reporter,Urban,DR,PT,,,,,,,,"18,687",,,,,,
20096,Putnam County ,Full Reporter,Urban,MB,PT,,,,,,,,"66,350",,,,,,
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,FB,PT,0,,,"688,820",,,,,,,,,,
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,,,,,,"100,550,363",,,,,,,,
20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,HR,DO,,,,,,"29,591,896",,,,,,,,
20100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,0,,,"7,356,180",,"510,310,000",,,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,DR,DO,,,,,,,,"277,365",,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,MB,DO,0,,,"1,421,248",,,,,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,VP,PT,,,,,,,,"3,995",,,,,,
20122,"Academy Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,"1,757,047",,,,,,,,,,
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,"2,278,570",,,,,,,,,,
20128,Suburban Transit Corporation,Full Reporter,Urban,CB,DO,0,,,"928,853",,,,,,,,,,
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,CB,DO,0,,,"345,365",,,,,,,,,,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,DR,PT,,,,,,,,"64,010",,,,,,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,MB,DO,0,,,"415,229",,,,"6,281",,,,,,
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,CB,DO,0,,,"644,844",,,,,,,,,,
20161,DeCamp Bus Lines,Full Reporter,Urban,CB,DO,0,,,"547,286",,,,,,,,,,
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,"733,459",,,,,,,,,,
20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,MB,DO,0,,,"416,416",,,,,,,,,,
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,CB,DO,0,,,"705,630",,,,,,,,,,
20175,Private Transportation Corporation,Full Reporter,Urban,MB,PT,0,,,"62,011",,,,,,,,,,
20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,CB,DO,0,,,"423,342",,,,,,,,,,
20188,MTA Bus Company,Full Reporter,Urban,MB,DO,0,,"2,473,995","10,166,020",,,,,,,,,,
20189,"BillyBey Ferry Company, LLC",Full Reporter,Urban,FB,DO,0,,,"719,287",,,,,,,,,,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,FB,DO,0,,,"2,244,162",,,,,,,,,,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,MB,DO,0,,,"247,819",,,,,,,,,,
20192,Bergen County,Full Reporter,Urban,DR,DO,,,,,,,,"127,454",,,,,,
20192,Bergen County,Full Reporter,Urban,MB,DO,,,,,,,,"9,633",,,,,,
20193,Cumberland County,Full Reporter,Urban,DR,DO,0,,,342,,,,"77,915",,,,,,
20199,County of Atlantic,Full Reporter,Urban,DR,DO,0,,,"4,006",,,,"107,420",,,,,,
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,DR,DO,0,,,"20,939",,,,"123,038",,,,,,
20206,County of Nassau,Full Reporter,Urban,DR,PT,0,,,"81,520",,,,"120,552",,,,,,
