Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,1
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",VP, PT , 171 ,,0,,"192,262",,0,,0,,0,,0,,0,,0,,,0,,"2,550,974",,0,,0,,0,,0,,0,,,,,13.27,,,,,,,,,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",YR, PT , 16 ,,"713,160",,0,,0,,0,,0,,0,,0,,0,,,"1,337,301",,0,,0,,0,,0,,0,,0,,,1.88,,,,,,,,,,,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",LR, DO , 14 ,,0,,0,,0,,0,,0,,0,,"6,772,749",,0,,,0,,0,,0,,0,,0,,"533,116",,0,,,,,,,,,,,,,0.08,,,,No,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,469",HR, DO , 68 ,,0,,0,,0,,0,,0,,0,,"83,019,720",,0,,,0,,0,,0,,0,,0,,"7,192,414",,0,,,,,,,,,,,,,0.09,,,,No,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,469",RB, DO , 26 ,,0,,0,,0,,"671,458",,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,469",LR, DO , 198 ,,0,,0,,0,,0,,0,,0,,"155,617,061",,0,,,0,,0,,0,,0,,0,,"18,520,945",,0,,,,,,,,,,,,,0.12,,,,No,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,469",MB, DO ," 1,784 ",,0,,0,,0,,"35,700,156",,0,,0,,0,,0,,,0,,0,,0,,"77,079,682",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,469",MB, PT , 134 ,,"584,375",,0,,0,,"1,977,931",,0,,0,,0,,0,,,0,,0,,0,,"6,312,869",,0,,0,,0,,,0.00,,,,,,,,,,,,,,No,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,469",VP, PT ," 1,259 ",,0,,"1,724,682",,0,,0,,0,,0,,0,,"28,748",,,0,,"19,346,743",,0,,0,,0,,0,,"75,446",,,,,11.22,,,,,,,,,,2.62,,No,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,391",MB, PT , 93 ,,"284,980",,0,,0,,0,,0,,0,,0,,0,,,"1,409,964",,0,,0,,0,,0,,0,,0,,,4.95,,,,,,,,,,,,,,No,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,391",HR, DO , 920 ,,0,,0,,0,,0,,0,,0,,"594,838,691",,0,,,0,,0,,0,,0,,0,,"87,800,368",,0,,,,,,,,,,,,,0.15,,,,No,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,391",DR, PT , 754 ,,0,,"3,132,161",,0,,0,,0,,0,,0,,0,,,0,,"34,494,833",,0,,0,,0,,0,,0,,,,,11.01,,,,,,,,,,,,No,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,391",MB, DO ," 1,286 ",,"7,892,680",,0,,0,,"3,955,599",,0,,0,,0,,"16,523",,,"32,961,050",,0,,0,,"13,201,831",,0,,0,,"5,757",,,4.18,,,,,,,,,,,,0.35,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",MB, DO , 986 ,,"10,183,781",,0,,0,,0,,"524,839",,0,,0,,"542,519",,,"43,373,066",,0,,0,,0,,0,,0,,"290,053",,,4.26,,,,,,,,,,,,0.53,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",DR, PT , 327 ,,"348,542",,"597,679",,"443,747",,0,,0,,0,,0,,0,,,"3,438,651",,"4,595,440",,0,,0,,"2,320,187",,0,,0,,,9.87,,7.69,,0.00,,,,,,,,,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",FB, DO , 3 ,,"40,878",,0,,0,,0,,"203,058",,0,,0,,0,,,"51,028",,0,,0,,0,,0,,0,,0,,,1.25,,,,,,,,,,,,,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",MB, PT , 29 ,,"42,340",,"126,250",,0,,0,,0,,0,,0,,0,,,"268,500",,"1,133,451",,0,,0,,0,,0,,0,,,6.34,,8.98,,,,,,,,,,,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",VP, DO ," 1,649 ",,0,,"881,551",,0,,0,,0,,0,,0,,0,,,0,,"14,740,994",,0,,0,,0,,0,,0,,,,,16.72,,,,,,,,,,,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",TB, DO , 140 ,,0,,0,,0,,0,,0,,0,,"15,300,827",,0,,,0,,0,,0,,0,,0,,"2,777,387",,0,,,,,,,,,,,,,0.18,,,,No,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,233",SR, DO , 10 ,,0,,0,,0,,0,,0,,0,,"2,241,000",,0,,,0,,0,,0,,0,,0,,"209,216",,0,,,,,,,,,,,,,0.09,,,,No,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,730",MB, DO ," 1,566 ",,"16,553,460",,0,,0,,0,,0,,0,,0,,0,,,"55,653,440",,0,,0,,0,,0,,0,,0,,,3.36,,,,,,,,,,,,,,No,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","2,730",HR, DO ," 1,164 ",,0,,0,,0,,0,,0,,0,,"448,035,159",,0,,,0,,0,,0,,0,,0,,"74,361,613",,0,,,,,,,,,,,,,0.17,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",FB, PT , 9 ,,"1,202,108",,0,,0,,0,,0,,0,,0,,0,,,"239,955",,0,,0,,0,,0,,0,,0,,,0.20,,,,,,,,,,,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",MB, DO , 779 ,,0,,0,,0,,"1,720,936",,"5,617,942",,0,,0,,0,,,"20,391,374",,0,,0,,"4,338,409",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",MB, PT , 70 ,,"171,178",,"33,865",,0,,0,,0,,0,,0,,0,,,"291,398",,"102,417",,0,,0,,0,,0,,0,,,1.70,,3.02,,,,,,,,,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",DR, PT , 617 ,,0,,"1,862,649",,0,,0,,0,,0,,0,,0,,,0,,"16,306,583",,0,,0,,0,,0,,0,,,,,8.75,,,,,,,,,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",CR, PT , 436 ,,"13,813,617",,0,,0,,0,,0,,0,,0,,0,,,"7,667,743",,0,,0,,0,,0,,0,,0,,,0.56,,,,,,,,,,,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",RB, DO , 42 ,,"372,280",,0,,0,,0,,0,,0,,"6,836,648",,0,,,"403,276",,0,,0,,0,,"1,170,837",,0,,0,,,1.08,,,,,,,,,,0.00,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",HR, DO , 338 ,,0,,0,,0,,0,,0,,0,,"190,322,755",,0,,,0,,0,,0,,0,,0,,"23,639,631",,0,,,,,,,,,,,,,0.12,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",TB, DO , 22 ,,0,,0,,0,,0,,0,,0,,"4,760,818",,0,,,0,,0,,0,,0,,0,,"582,121",,0,,,,,,,,,,,,,0.12,,,,No,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019","2,464",LR, DO , 151 ,,0,,0,,0,,0,,0,,0,,"48,371,041",,0,,,0,,0,,0,,0,,0,,"5,784,446",,0,,,,,,,,,,,,,0.12,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",MB, PT , 6 ,,"34,090",,0,,0,,0,,0,,0,,0,,0,,,"259,218",,0,,0,,0,,0,,0,,0,,,7.60,,,,,,,,,,,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",DR, PT , 415 ,,0,,"2,028,561",,0,,0,,0,,0,,0,,0,,,0,,"13,247,423",,0,,0,,0,,0,,0,,,,,6.53,,,,,,,,,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",CR, DO , 348 ,,0,,0,,0,,0,,0,,0,,"207,632,998",,0,,,0,,0,,0,,0,,0,,"20,739,452",,0,,,,,,,,,,,,,0.10,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",TB, DO , 29 ,,0,,0,,0,,0,,0,,0,,"5,184,839",,0,,,0,,0,,0,,0,,0,,"665,457",,0,,,,,,,,,,,,,0.13,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",HR, DO , 287 ,,0,,0,,0,,0,,0,,0,,"139,668,058",,0,,,0,,0,,0,,0,,0,,"17,246,224",,0,,,,,,,,,,,,,0.12,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",SR, DO , 120 ,,0,,0,,0,,0,,0,,0,,"27,845,690",,0,,,0,,0,,0,,0,,0,,"3,318,072",,0,,,,,,,,,,,,,0.12,,,,No,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567","2,390",MB, DO ," 1,185 ",,"12,701,306",,0,,0,,0,,0,,0,,0,,"358,468",,,"45,299,841",,0,,0,,0,,0,,0,,"58,215",,,3.57,,,,,,,,,,,,0.16,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",MB, PT , 99 ,,"1,412,549",,0,,0,,0,,0,,0,,0,,0,,,"6,628,417",,0,,0,,0,,0,,0,,0,,,4.69,,,,,,,,,,,,,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",CB, PT , 64 ,,"534,738",,0,,0,,0,,0,,0,,0,,0,,,"2,780,224",,0,,0,,0,,0,,0,,0,,,5.20,,,,,,,,,,,,,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",MB, DO , 613 ,,"6,866,759",,"227,464",,0,,"1,195,082",,0,,0,,0,,0,,,"28,311,706",,"1,189,875",,0,,"4,047,753",,0,,0,,0,,,4.12,,5.23,,,,,,,,,,,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",VP, DO , 553 ,,0,,"551,395",,0,,0,,0,,0,,0,,0,,,0,,"7,739,727",,0,,0,,0,,0,,0,,,,,14.04,,,,,,,,,,,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",LR, DO , 54 ,,0,,0,,0,,0,,0,,0,,"22,340,810",,0,,,0,,0,,0,,0,,0,,"3,631,566",,0,,,,,,,,,,,,,0.16,,,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",DR, PT , 340 ,,0,,"2,319,565",,0,,0,,0,,0,,0,,0,,,0,,"9,552,534",,0,,0,,0,,0,,0,,,,,4.12,,,,,,,,,,,,No,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332","2,131",CB, DO , 248 ,,"2,145,915",,0,,0,,0,,0,,0,,0,,0,,,"10,047,366",,0,,0,,0,,0,,0,,0,,,4.68,,,,,,,,,,,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",MB, DO , 615 ,,"5,873,401",,0,,0,,0,,0,,0,,0,,0,,,"26,315,526",,0,,0,,0,,0,,0,,0,,,4.48,,,,,,,,,,,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",HR, DO , 54 ,,0,,0,,0,,0,,0,,0,,"49,035,260",,0,,,0,,0,,0,,0,,0,,"5,042,839",,0,,,,,,,,,,,,,0.10,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",DR, PT , 461 ,,0,,"2,742,870",,0,,0,,0,,0,,0,,0,,,0,,"21,011,483",,0,,0,,0,,0,,0,,,,,7.66,,,,,,,,,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",LR, DO , 38 ,,0,,0,,0,,0,,0,,0,,"29,925,621",,0,,,0,,0,,0,,0,,0,,"3,064,219",,0,,,,,,,,,,,,,0.10,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",CB, PT , 280 ,,"2,598,059",,0,,0,,0,,0,,0,,0,,0,,,"798,198",,0,,0,,0,,0,,0,,0,,,0.31,,,,,,,,,,,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",CR, PT , 149 ,,"3,921,514",,0,,0,,0,,0,,0,,"26,876,790",,0,,,"769,331",,0,,0,,0,,0,,"170,401",,0,,,0.20,,,,,,,,,,0.01,,,,No,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663","1,647",DR, DO , 12 ,,0,,"32,455",,0,,0,,0,,0,,0,,0,,,0,,"93,913",,0,,0,,0,,0,,0,,,,,2.89,,,,,,,,,,,,No,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,513",MB, PT , 84 ,,"341,097",,"6,014",,0,,0,,0,,0,,0,,0,,,"1,849,501",,"8,293",,0,,0,,0,,0,,0,,,5.42,,1.38,,,,,,,,,,,,No,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,513",MB, DO , 555 ,,"4,786,056",,0,,0,,"1,278,638",,0,,0,,0,,0,,,"23,152,259",,0,,0,,"4,852,318",,0,,0,,0,,,4.84,,,,,,,,,,,,,,No,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,513",VP, DO , 548 ,,0,,"518,160",,0,,0,,0,,0,,0,,0,,,0,,"7,948,891",,0,,0,,0,,0,,0,,,,,15.34,,,,,,,,,,,,No,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,513",DR, PT , 248 ,,"16,289",,"636,637",,0,,0,,90,,0,,0,,0,,,"221,684",,"13,219,249",,0,,0,,0,,0,,0,,,13.61,,20.76,,,,,,,,,,,,No,,,
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,513",DR, DO , 10 ,,"22,154",,"6,216",,0,,0,,0,,0,,0,,0,,,"119,985",,"43,837",,0,,0,,0,,0,,0,,,5.42,,7.05,,,,,,,,,,,,No,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,485",VP, PT , 518 ,,0,,"515,517",,0,,0,,0,,0,,0,,0,,,0,,"8,139,286",,0,,0,,0,,0,,0,,,,,15.79,,,,,,,,,,,,No,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,485",DR, PT , 416 ,,0,,"2,344,977",,0,,"22,254",,0,,0,,0,,0,,,0,,"13,487,170",,0,,0,,0,,0,,0,,,,,5.75,,,,,,,,,,,,No,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,485",MB, DO , 239 ,,0,,0,,0,,"5,900,771",,0,,0,,0,,0,,,0,,0,,0,,"20,096,761",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,485",CB, DO , 21 ,,0,,0,,0,,"115,774",,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,485",MB, PT , 185 ,,0,,0,,0,,"3,595,951",,0,,0,,0,,0,,,0,,0,,0,,"13,798,765",,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,485",CB, PT , 15 ,,0,,0,,0,,"192,843",,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,No,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,483",MB, DO , 483 ,,"5,163,061",,0,,0,,0,,0,,0,,0,,"1,483,163",,,"24,924,384",,0,,0,,0,,0,,0,,"430,068",,,4.83,,,,,,,,,,,,0.29,,No,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,483",DR, PT , 441 ,,0,,"1,678,627",,0,,0,,0,,0,,0,,0,,,0,,"13,466,936",,0,,0,,0,,0,,0,,,,,8.02,,,,,,,,,,,,No,,,
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,483",CR, PT , 44 ,,0,,0,,0,,0,,0,,0,,"40,059,292",,0,,,0,,0,,0,,0,,0,,"5,866,496",,0,,,,,,,,,,,,,0.15,,,,No,,,
